,city,positive_count,negative_count,main_city_count,average_distance,bad_dist_count
0,Москва,4946,9471,983,,
1,Санкт-Петербург,1445,6557,810,,
2,Самара,133,483,129,,
3,Красноярск,95,269,44,,
4,Воронеж,291,845,193,,
5,Екатеринбург,436,1018,211,,
6,Омск,124,539,70,,
7,Краснодар,117,875,56,,
8,Пенза,125,272,42,,
9,Уфа,77,479,87,,
10,Ярославль,150,326,44,,
11,Волгоград,152,546,102,,
12,Владивосток,56,485,51,,
13,Хабаровск,53,158,18,,
14,Иркутск,66,316,69,,
15,Благовещенск,42,77,31,,
16,Новосибирск,442,846,125,,
17,Кемерово,59,169,19,,
18,Тюмень,169,402,74,,
19,Томск,99,390,75,,
20,Челябинск,112,440,64,,
21,Барнаул,269,274,40,,
22,Нижний Новгород,277,741,75,,
23,Оренбург,46,195,55,,
24,Липецк,41,192,29,,
25,Смоленск,45,125,28,,
26,Саратов,125,312,50,,
27,Казань,633,1304,172,,
28,Ижевск,75,263,20,,
29,Тверь,115,244,76,,
30,Киров,90,175,28,,
31,Владикавказ,7,98,10,,
32,Южно-Сахалинск,22,89,9,,
33,Кызыл,5,14,1,,
34,Грозный,4,110,20,,
35,Мурик,0,0,0,,
36,Чебоксары,81,342,60,,
37,Калининград,109,318,53,,
38,Астрахань,65,124,27,,
39,Петропавловск-Камчатский,12,84,21,,
40,Ханты-Мансийск,6,68,6,,
41,Пермь,127,507,81,,
42,Ростов-на-Дону,126,386,67,,
43,Махачкала,42,390,111,,
44,Сыктывкар,63,96,17,,
45,Ульяновск,456,377,21,,
46,Петрозаводск,108,154,29,,
47,Армавир,7,23,10,,
48,Тула,147,232,59,,
49,Владимир,94,325,90,,
50,Вологда,25,135,24,,
51,Чита,17,99,10,,
52,Магадан,26,53,15,,
53,Курган,23,44,10,,
54,Брянск,10,116,20,,
55,Иваново,19,94,13,,
56,Белгород,54,155,22,,
57,Майкоп,80,163,21,,
58,Псков,42,187,21,,
59,Орёл,24,87,108,,
60,Кострома,22,79,16,,
61,Рязань,37,205,24,,
62,Саранск,16,96,30,,
63,Элиста,5,76,19,,
64,Тамбов,226,202,19,,
65,Ставрополь,64,298,46,,
66,Калуга,37,363,33,,
67,Курск,100,262,47,,
68,Архангельск,231,496,120,,
69,Йошкар-Ола,25,198,25,,
70,Елец,2,25,18,,
71,Выборг,49,114,10,,
72,Якутск,10,32,15,,
73,Улан-Удэ,22,73,10,,
74,Ангарск,49,149,117,,
75,Находка,11,62,38,,
76,Новокузнецк,37,104,29,,
77,Салехард,3,16,13,,
78,Ачинск,2,13,4,,
79,Абакан,214,88,12,,
80,Нижнекамск,31,95,14,,
81,Невинномысск,4,48,13,,
82,Нальчик,25,181,51,,
83,Набережные Челны,359,209,24,,
84,Новокуйбышевск,12,12,3,,
85,Новочеркасск,11,45,4,,
86,Великий Новгород,38,158,21,,
87,Магнитогорск,99,98,98,,
88,Сочи,154,832,41,,
89,Муром,26,63,8,,
90,Рыбинск,35,88,23,,
91,Дзержинск,46,47,6,,
92,Тольятти,275,151,10,,
93,Черкесск,2,33,11,,
94,Череповец,37,115,16,,
95,Таганрог,12,132,10,,
96,Камышин,2,18,3,,
97,Шахты,21,75,6,,
98,Кисловодск,14,99,4,,
99,Анадырь,3,3,4,,
100,Нижневартовск,15,69,7,,
101,Горно-Алтайск,2,20,3,,
102,Ухта,21,42,11,,
103,Биробиджан,3,22,6,,
104,Березники,12,61,9,,
105,Мытищи,60,98,16,,
106,Орехово-Зуево,7,57,6,,
107,Коломна,29,103,8,,
